Carbon 1: 4.2 MHz
Carbon 2: 6.52 MHz

frequency (GHz) 	 norm. intensity (arb. u.)
2.85 	 99.74191502108512
2.8502 	 100.09024285292384
2.8504 	 97.68892001828249
2.8506 	 100.33238254156973
2.8508 	 101.93246730675855
2.851 	 97.60357091342482
2.8512 	 100.90910057066642
2.8514 	 102.30645716404062
2.8516 	 100.08633720308042
2.8518 	 97.91995296170894
2.852 	 97.84856780758327
2.8522 	 99.4904867559331
2.8524 	 98.74129510765204
2.8526 	 99.20075997782428
2.8528 	 98.90576851014949
2.853 	 99.12004794459736
2.8532 	 102.33208030484687
2.8534 	 100.16267260269879
2.8536 	 100.88783146247158
2.8538 	 99.91946710014928
2.854 	 98.21190890338984
2.8542 	 97.79290977896551
2.8544 	 99.74979758285949
2.8546 	 102.03424086957475
2.8548 	 100.3566927073516
2.855 	 99.33356435201655
2.8552 	 100.48390366115188
2.8554 	 99.75802245648666
2.8556 	 97.74851012899728
2.8558 	 98.9122225206534
2.856 	 98.33828651421493
2.8562 	 97.99172742754988
2.8564 	 97.67454015975291
2.8566 	 101.18514128586293
2.8568 	 100.74366540878766
2.857 	 100.04698330561403
2.8572 	 99.3484401022314
2.8574 	 99.05104437520971
2.8576 	 100.06422417808754
2.8578 	 101.22753519641822
2.858 	 101.98639503204635
2.8582 	 99.4869731088924
2.8584 	 101.55849046940794
2.8586 	 98.0278684473181
2.8588 	 101.82511462929106
2.859 	 99.17845884429944
2.8592 	 101.77947141404418
2.8594 	 102.18520455752824
2.8596 	 102.07488721253053
2.8598 	 99.05553520828477
2.86 	 101.6801252551169
2.8602 	 98.81639455030823
2.8604 	 101.76573251319203
2.8606 	 100.04193552669048
2.8608 	 99.21466925394714
2.861 	 101.5273810977912
2.8612 	 99.80753046919989
2.8614 	 97.29081077549337
2.8616 	 98.1628200516882
2.8618 	 100.95673020459674
2.862 	 99.15866814764613
2.8622 	 99.01099778212145
2.8624 	 94.99926674631595
2.8626 	 95.93745103480569
2.8628 	 95.18570707533918
2.863 	 99.12362418754617
2.8632 	 99.43406999991737
2.8634 	 100.0198222568672
2.8636 	 99.6333970700163
2.8638 	 100.62513044361314
2.864 	 97.75186486080612
2.8642 	 95.64442898981045
2.8644 	 96.66879942375593
2.8646 	 96.16947283585851
2.8648 	 93.57570398895116
2.865 	 98.80226605809023
2.8652 	 95.69610189223731
2.8654 	 100.17455990958607
2.8656 	 100.40716092520505
2.8658 	 95.76841310486316
2.866 	 98.67969577351388
2.8662 	 97.72509247831219
2.8664 	 93.99068523194316
2.8666 	 89.64822904422833
2.8668 	 89.92969365158307
2.867 	 92.7751268136846
2.8672 	 95.35488841850183
2.8674 	 99.043711181084
2.8676 	 98.20817558673616
2.8678 	 99.11308052971486
2.868 	 98.5117707531286
2.8682 	 94.9465989971733
2.8684 	 95.08563232658481
2.8686 	 92.11077897321167
2.8688 	 92.34450006900354
2.869 	 90.24747333363241
2.8692 	 93.57116846510226
2.8694 	 93.29798727654278
2.8696 	 96.73362706464388
2.8698 	 97.19846900131337
2.87 	 95.1431418789212
2.8702 	 95.70351890629283
2.8704 	 97.1788658305292
2.8706 	 96.32160656288532
2.8708 	 93.51685180233417
2.871 	 90.68949780482676
2.8712 	 91.84783259175845
2.8714 	 92.92421897347579
2.8716 	 93.61582642765303
2.8718 	 95.66035437499937
2.872 	 99.02243316311485
2.8722 	 97.5690515939487
2.8724 	 96.93677814207007
2.8726 	 95.33607435478388
2.8728 	 94.67274437751807
2.873 	 90.60919621886268
2.8732 	 88.89087687477335
2.8734 	 89.63511658195895
2.8736 	 95.78766486558838
2.8738 	 98.18045209473472
2.874 	 99.21139700869844
2.8742 	 100.00588480965922
2.8744 	 100.27421918789106
2.8746 	 98.04395119979013
2.8748 	 98.0786831661171
2.875 	 95.53319374173012
2.8752 	 97.57000542114176
2.8754 	 93.11752899355483
2.8756 	 94.32437993379129
2.8758 	 98.84566177995686
2.876 	 99.0181475909819
2.8762 	 100.65765862343056
2.8764 	 98.2902182518936
2.8766 	 97.31912112055818
2.8768 	 98.80451688528181
2.877 	 96.5151168847094
2.8772 	 98.658243971721
2.8774 	 94.60436586150979
2.8776 	 94.22186590008192
2.8778 	 96.13094789675048
2.878 	 99.24531087831457
2.8782 	 97.18109653067324
2.8784 	 97.82382813802037
2.8786 	 100.54042236562461
2.8788 	 97.21016816377195
2.879 	 101.18811425007264
2.8792 	 99.97601068207524
2.8794 	 99.53893283849291
2.8796 	 101.89381392976587
2.8798 	 102.14377492403833
2.88 	 101.32523976123522
2.8802 	 101.48080007518229
2.8804 	 97.91833094091821
2.8806 	 98.2721290721575
2.8808 	 97.46108254026797
2.881 	 97.35982503167675
2.8812 	 97.96024311372287
2.8814 	 99.22298290402638
2.8816 	 99.76869749970074
2.8818 	 99.76272797801568
2.882 	 99.3222534960021
2.8822 	 102.07663105529797
2.8824 	 100.74752490028922
2.8826 	 97.79676239702896
2.8828 	 99.93606202652272
2.883 	 100.44002332005935
2.8832 	 98.7335402450506
2.8834 	 100.00796152812175
2.8836 	 101.8540211807502
2.8838 	 102.06350799102736
2.884 	 98.3489745699411
2.8842 	 97.77383019498296
2.8844 	 99.77240368029803
2.8846 	 99.81111785724372
2.8848 	 98.58871958264966
2.885 	 102.33754554087558
2.8852 	 100.05786102301504
2.8854 	 100.91676056395033
2.8856 	 102.00092568829436
2.8858 	 100.48489172241433
2.886 	 98.65110604844837
2.8862 	 100.02378945764424
2.8864 	 100.87856914074577
2.8866 	 98.02532322737983
2.8868 	 102.43580907594239
2.887 	 100.21796542424161
2.8872 	 100.31350360250974
2.8874 	 101.49044028658341
2.8876 	 100.0282264028739
2.8878 	 100.25397014563414
2.888 	 99.17507982360846
2.8882 	 99.73443672099295
2.8884 	 99.13886305233535
2.8886 	 98.48998526456009
2.8888 	 101.06843589494603
2.889 	 98.95390896763301
2.8892 	 101.8597358078157
2.8894 	 98.72350632857808
2.8896 	 102.32150179460486
2.8898 	 101.88670951726873
2.89 	 99.26195403331475
